EGID,BAUJ,BAUJK,FLAE,GES,GKAT,n_eingange,GDEKT,GDENAME,GDENR,STRNAME,DEINR,PLZ4,PLZNAME,Latitude,Longitude,CH_BEZ_D,BAUJK_qual,FLAE_qual,GES_qual,EBF,Nutzung,HGT,co2_m2,co2,kwh_m2,kwh
1,1984,1981-1985,122,2,Gebäude mit teilweiser Wohnnutzung,2,ZH,Affoltern am Albis,2,Grossholzerstrasse,20,8910,Affoltern am Albis,47.26912,8.449096,ausserhalb Bauzonen,1,0,1,97.60000000000001,Rest,3112,24.11903142965101,2354.0174675339385,107.27098672832796,10469.64830468481
"112,1980,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,13,8910,Affoltern am Albis,47.27264,8.451907,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"123,1966,1961-1970,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Gartenstrasse,15,8910,Affoltern am Albis,47.27398,8.452537,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,31.053844354926174,3030.8552090407948,126.2434880255965,12321.36443129822"
"125,1949,1946-1960,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Gartenstrasse,2,8910,Affoltern am Albis,47.27512,8.45104,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.42231729172554,3359.618167672413,140.38666524962295,13701.738528363201"
"130,1956,1946-1960,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",8,ZH,Affoltern am Albis,2,Gartenstrasse,3,8910,Affoltern am Albis,47.27528,8.451475,Wohnzonen,1,0,1,292.8,Wohnen,3112,30.12302728678297,8820.022389570055,128.09820782937612,37507.15525244133"
"135,1965,1961-1970,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",8,ZH,Affoltern am Albis,2,Gartenhof,4,8910,Affoltern am Albis,47.27528,8.452208,Wohnzonen,1,0,1,292.8,Wohnen,3112,27.175271000358045,7956.919348904836,115.19302447603124,33728.51756658195"
"91,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlstrasse,8,8910,Affoltern am Albis,47.27301,8.452269,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"92,1980,1971-1980,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlstrasse,10,8910,Affoltern am Albis,47.27282,8.452288,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,28.33365336176192,5530.729136215928,126.21781639132138,24637.717759585936"
"97,1946,1946-1960,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlstrasse,11,8910,Affoltern am Albis,47.27177,8.452833,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.42231729172554,3359.618167672413,140.38666524962295,13701.738528363201"
"105,1947,1946-1960,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlstrasse,27,8910,Affoltern am Albis,47.27059,8.454069,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.42231729172554,3359.618167672413,140.38666524962295,13701.738528363201"
"106,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,1,8910,Affoltern am Albis,47.27338,8.451834,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
